Topography,Construction Type,Amount of Land (sqft),Land Price per sqft,Number of Floors,Architectural Style,Quality Level of Raw Materials,Furnished,Luxury Level,Building Area (sqft),Construction Cost per sqft,Raw Materials Cost per sqft,Flooring Cost per sqft,Ceiling Cost per sqft,Plumbing Cost per sqft,Wiring Cost per sqft,Price
rural,commercial,10459,450,10,traditional,low,Non-Furnished,basic,9930,1543,1269,439,124,240,155,72506087
metropolitan,residential,5127,45839,4,modern,medium,Furnished,standard,4868,1540,1388,381,168,221,178,233780943
suburban,residential,4689,2762,2,traditional,low,Non-Furnished,luxury,4454,1564,1024,345,176,294,140,26968938
metropolitan,commercial,9877,33402,19,traditional,low,Furnished,basic,9367,1644,1240,424,104,241,164,390165182
urban,residential,2334,6935,4,modern,low,Furnished,standard,2216,1697,1021,367,133,289,133,21766064
rural,residential,11463,361,3,traditional,low,Furnished,basic,10887,1510,1274,376,159,219,190,39160871
rural,residential,3937,686,1,contemporary,medium,Non-Furnished,luxury,3740,1600,1367,429,58,249,109,16788084
rural,residential,5850,974,4,modern,medium,Furnished,basic,5556,1648,1285,415,144,157,112,27379632
suburban,commercial,7333,3171,18,contemporary,low,Furnished,luxury,6966,1644,1055,472,147,232,158,114547749
rural,residential,3261,639,1,traditional,low,Non-Furnished,basic,3097,1790,1478,360,99,237,125,10750862
rural,commercial,6286,397,8,modern,high,Furnished,standard,5968,1570,1170,494,128,175,168,55055129
metropolitan,residential,7764,24722,2,modern,medium,Furnished,basic,7374,1530,1037,521,61,176,137,179642243
urban,residential,10069,19387,2,contemporary,low,Furnished,luxury,9564,1750,1117,566,133,153,189,212786971
rural,commercial,10033,504,3,traditional,low,Non-Furnished,luxury,9531,1568,1483,378,115,240,172,54413739
suburban,residential,10630,4034,1,traditional,high,Non-Furnished,basic,10098,1776,1222,541,141,163,178,74385560
suburban,commercial,7042,3860,4,contemporary,medium,Furnished,basic,6688,1587,1282,329,91,221,197,58637166
urban,residential,9416,9549,1,modern,high,Non-Furnished,luxury,8945,1695,1025,333,184,229,187,133499931
suburban,commercial,11938,3229,12,modern,medium,Non-Furnished,luxury,11340,1722,1302,498,192,244,107,177586160
urban,residential,3901,18376,2,modern,medium,Furnished,standard,3704,1790,1291,442,135,299,174,79949940
suburban,commercial,3579,1770,22,traditional,low,Non-Furnished,basic,3388,1763,1259,527,169,257,143,51483413
suburban,residential,9372,3568,3,traditional,low,Furnished,standard,8901,1502,1257,411,142,254,141,60053713
urban,residential,5059,5907,1,modern,medium,Non-Furnished,luxury,4806,1593,1296,499,89,154,154,47593480
urban,residential,11840,12974,4,contemporary,low,Furnished,luxury,11248,1709,1340,578,172,295,153,197180567
suburban,residential,11985,1727,3,modern,high,Non-Furnished,luxury,11385,1672,1246,404,193,299,128,81431983
metropolitan,residential,10155,41639,4,traditional,high,Furnished,basic,9644,1788,1330,424,192,277,146,423775073
urban,residential,3340,9547,3,contemporary,medium,Non-Furnished,luxury,3171,1736,1307,466,162,208,118,47041670
suburban,commercial,1256,4134,7,contemporary,high,Furnished,luxury,1190,1657,1012,342,122,190,141,15725718
rural,commercial,2792,994,12,contemporary,high,Furnished,basic,2652,1755,1340,357,174,152,138,25908825
rural,residential,5425,666,5,contemporary,low,Non-Furnished,basic,5150,1640,1299,425,193,257,140,23861007
urban,commercial,10518,17712,30,contemporary,high,Non-Furnished,standard,9990,1528,1479,382,112,284,114,406457205
suburban,residential,7513,4799,2,contemporary,high,Non-Furnished,basic,7136,1555,1190,489,135,214,144,58930973
metropolitan,residential,6054,29853,2,modern,high,Furnished,luxury,5750,1674,1005,443,165,249,130,222921321
rural,commercial,8540,875,26,contemporary,high,Furnished,luxury,8112,1606,1074,356,159,161,154,144763386
urban,residential,4042,14094,5,traditional,low,Furnished,standard,3835,1568,1076,532,165,296,174,64793104
rural,residential,10868,453,2,contemporary,high,Furnished,basic,10324,1691,1073,338,151,227,179,41596567
rural,commercial,4885,906,10,modern,medium,Non-Furnished,standard,4640,1575,1007,452,198,154,185,43857847
suburban,residential,2500,3470,1,modern,high,Furnished,standard,2375,1506,1424,556,69,185,133,17880728
suburban,commercial,11888,4070,24,traditional,medium,Furnished,luxury,11280,1646,1414,521,138,274,151,279933443
metropolitan,commercial,5240,36168,10,contemporary,high,Non-Furnished,basic,4970,1586,1134,435,118,295,137,247629582
rural,commercial,5763,378,1,contemporary,low,Furnished,basic,5474,1725,1249,376,196,290,140,21497651
metropolitan,residential,5680,29106,1,modern,high,Furnished,basic,5396,1738,1248,509,104,257,178,166855806
suburban,commercial,5572,4589,6,traditional,low,Furnished,basic,5292,1672,1295,310,185,298,100,48601959
metropolitan,residential,9382,34841,1,modern,medium,Furnished,luxury,8912,1503,1424,358,57,220,158,357193038
rural,commercial,11100,747,6,contemporary,high,Non-Furnished,luxury,10542,1683,1200,485,102,255,108,98844764
suburban,commercial,10698,1039,17,traditional,medium,Non-Furnished,luxury,10149,1612,1223,307,51,197,122,116898580
rural,commercial,5392,528,16,traditional,medium,Non-Furnished,luxury,5120,1512,1344,343,145,192,192,58414849
suburban,residential,5282,1899,1,contemporary,medium,Non-Furnished,basic,5017,1574,1195,375,193,235,184,23388239
urban,residential,9013,19603,2,traditional,medium,Non-Furnished,basic,8562,1578,1356,355,161,179,117,171553626
rural,commercial,7051,416,23,contemporary,medium,Non-Furnished,standard,6693,1654,1384,533,121,248,149,119661312
suburban,commercial,8660,2789,22,modern,low,Furnished,luxury,8206,1514,1152,559,149,239,179,165606665
suburban,residential,1311,4723,1,modern,low,Non-Furnished,luxury,1245,1508,1217,377,63,245,164,9481560
metropolitan,residential,1245,35253,1,traditional,low,Non-Furnished,luxury,1182,1662,1218,361,137,297,121,43103778
urban,commercial,8450,13937,15,traditional,low,Furnished,standard,8025,1711,1115,600,105,181,149,214218378
suburban,residential,5871,2076,2,contemporary,high,Non-Furnished,basic,5576,1655,1285,516,178,283,102,33390541
metropolitan,residential,10822,28972,2,modern,low,Non-Furnished,standard,10280,1666,1273,402,64,199,130,288402981
rural,residential,7810,854,1,contemporary,high,Non-Furnished,basic,7419,1772,1367,397,117,283,179,33144241
rural,residential,4791,339,2,traditional,high,Non-Furnished,basic,4550,1764,1350,317,194,183,148,18770071
rural,commercial,10437,631,18,contemporary,high,Non-Furnished,basic,9900,1621,1129,307,190,200,200,102757110
metropolitan,residential,9376,37058,2,modern,low,Furnished,standard,8906,1596,1023,305,65,216,200,308863807
metropolitan,commercial,10057,41131,19,contemporary,low,Non-Furnished,standard,9538,1633,1103,435,185,296,173,519571657
metropolitan,commercial,10285,33036,21,traditional,high,Non-Furnished,basic,9765,1722,1093,312,184,298,132,476154059
metropolitan,commercial,11776,25926,30,modern,medium,Non-Furnished,basic,11160,1620,1076,489,89,298,115,499664340
urban,commercial,6955,13005,14,traditional,high,Non-Furnished,standard,6594,1569,1478,361,134,189,113,177558730
suburban,residential,7706,3760,5,contemporary,low,Non-Furnished,luxury,7320,1709,1145,344,93,220,136,58576941
rural,commercial,4266,938,25,contemporary,high,Non-Furnished,luxury,4050,1622,1055,445,83,246,121,82152123
urban,residential,10240,7683,4,traditional,low,Non-Furnished,standard,9728,1694,1444,598,58,192,166,110578452
rural,commercial,6276,550,10,modern,low,Non-Furnished,standard,5960,1603,1219,309,113,174,115,40672407
rural,commercial,6418,605,29,modern,high,Non-Furnished,standard,6090,1706,1015,518,127,294,170,139799709
rural,residential,11432,611,1,modern,high,Non-Furnished,standard,10860,1772,1090,589,122,263,192,50221740
rural,commercial,11254,752,5,traditional,low,Furnished,standard,10690,1707,1325,321,86,228,124,62707533
suburban,commercial,8262,1166,14,traditional,low,Furnished,luxury,7840,1637,1356,458,186,274,153,96794113
metropolitan,residential,8358,26127,1,contemporary,low,Furnished,basic,7940,1538,1469,386,141,204,191,182189511
rural,commercial,9266,667,2,traditional,high,Furnished,standard,8802,1765,1104,412,101,282,108,52621318
metropolitan,commercial,7375,48586,15,contemporary,low,Furnished,standard,7005,1546,1172,414,97,268,153,420756890
metropolitan,commercial,6316,20342,10,contemporary,high,Furnished,luxury,6000,1704,1209,599,190,244,100,246864123
suburban,residential,7092,1779,4,traditional,medium,Non-Furnished,standard,6736,1785,1229,400,96,180,106,41642751
rural,commercial,11232,743,23,modern,medium,Non-Furnished,basic,10649,1652,1212,511,114,238,128,167422194
suburban,commercial,10348,1358,11,traditional,low,Non-Furnished,basic,9823,1560,1253,428,175,217,135,82959305
rural,residential,6753,321,1,contemporary,high,Furnished,standard,6415,1617,1061,576,51,202,186,25951508
metropolitan,commercial,5702,38325,10,modern,medium,Furnished,luxury,5410,1677,1258,503,192,266,118,320863964
rural,residential,6144,596,2,traditional,medium,Non-Furnished,basic,5836,1711,1149,311,52,237,134,21425636
suburban,residential,5239,3658,4,traditional,low,Non-Furnished,basic,4976,1505,1098,591,99,198,114,33479462
rural,commercial,6918,948,4,modern,low,Non-Furnished,basic,6572,1797,1330,533,97,179,190,39367020
rural,residential,5097,398,1,modern,low,Non-Furnished,luxury,4842,1725,1151,352,155,152,135,17640681
urban,residential,8538,5791,5,traditional,high,Furnished,basic,8110,1642,1407,323,165,178,200,81867175
urban,residential,4237,18353,4,modern,medium,Non-Furnished,luxury,4024,1744,1161,575,95,156,131,99241311
suburban,commercial,6810,4893,10,modern,low,Furnished,standard,6460,1680,1181,561,144,171,106,90379761
urban,commercial,9970,12041,24,contemporary,low,Furnished,basic,9456,1547,1139,558,65,236,189,247032364
urban,commercial,10246,8858,18,modern,high,Furnished,basic,9720,1544,1299,588,135,299,179,248275523
urban,commercial,5191,5781,3,contemporary,medium,Furnished,luxury,4929,1776,1049,378,161,182,193,63607611
rural,residential,2131,520,2,modern,medium,Non-Furnished,standard,2024,1574,1070,591,119,225,154,8873906
metropolitan,commercial,2145,25397,16,modern,high,Non-Furnished,standard,2032,1796,1340,557,78,222,200,96768662
urban,residential,4123,18283,3,contemporary,medium,Furnished,standard,3915,1629,1038,413,63,197,150,83167259
suburban,residential,10680,3925,4,modern,low,Furnished,luxury,10144,1590,1103,554,94,206,157,86549636
suburban,commercial,10179,2854,8,traditional,high,Furnished,standard,9664,1722,1065,441,59,293,172,115877919
urban,residential,5714,14689,2,traditional,high,Furnished,basic,5428,1638,1459,515,195,257,109,97921702
metropolitan,commercial,6008,43702,4,traditional,low,Furnished,basic,5704,1788,1210,532,95,270,175,263102823
metropolitan,commercial,2264,48085,15,modern,high,Furnished,basic,2145,1527,1289,347,177,175,124,138517638
urban,residential,6164,6192,1,traditional,medium,Non-Furnished,basic,5855,1730,1064,332,72,280,163,48183289
metropolitan,commercial,8604,24122,11,modern,medium,Non-Furnished,basic,8173,1697,1183,355,165,254,134,264843970
rural,residential,2071,275,4,traditional,low,Non-Furnished,basic,1964,1593,1182,529,160,257,198,8298432
suburban,residential,8274,3455,4,traditional,high,Furnished,luxury,7860,1596,1222,566,187,290,152,80292504
rural,residential,7166,374,1,traditional,medium,Furnished,standard,6807,1642,1333,364,99,172,165,25762478
urban,residential,10406,14221,2,modern,medium,Furnished,standard,9884,1632,1344,393,156,196,123,171108695
metropolitan,residential,3591,31073,5,traditional,medium,Non-Furnished,basic,3410,1537,1218,455,72,280,119,105576657
urban,commercial,3642,19897,25,contemporary,high,Non-Furnished,basic,3450,1571,1487,318,113,282,157,122345745
metropolitan,residential,3829,27537,5,traditional,low,Non-Furnished,basic,3635,1588,1317,384,66,293,141,90975953
urban,commercial,11026,16194,24,contemporary,low,Furnished,luxury,10464,1554,1211,329,124,272,111,322812699
rural,residential,9086,674,4,traditional,medium,Furnished,standard,8628,1774,1169,531,151,262,188,49874000
urban,residential,8157,7744,1,modern,medium,Furnished,luxury,7749,1626,1491,305,146,286,190,93962724
suburban,commercial,9138,3664,11,modern,medium,Furnished,basic,8679,1708,1310,503,124,180,175,111028116
metropolitan,residential,9078,36362,5,modern,low,Furnished,luxury,8620,1553,1134,541,59,278,146,339518386
urban,commercial,10166,15863,12,contemporary,medium,Non-Furnished,basic,9648,1675,1214,522,141,253,103,251822792
urban,commercial,6501,16864,14,modern,high,Non-Furnished,basic,6174,1558,1012,363,94,257,133,174092470
suburban,residential,10090,1840,3,modern,high,Furnished,standard,9585,1778,1065,466,184,230,192,64643436
rural,residential,9015,393,5,modern,low,Furnished,basic,8560,1797,1458,445,169,194,194,40789279
metropolitan,residential,3022,37918,5,contemporary,low,Furnished,standard,2870,1563,1232,360,121,294,130,104875164
rural,residential,8775,766,1,modern,high,Furnished,luxury,8336,1595,1332,522,63,209,186,43179209
metropolitan,residential,11802,37267,4,contemporary,high,Furnished,standard,11208,1719,1052,454,181,234,155,493186534
urban,commercial,11330,18881,30,traditional,low,Furnished,basic,10740,1690,1250,362,78,185,102,326937451
rural,commercial,8486,919,5,modern,medium,Furnished,luxury,8060,1538,1208,454,123,250,182,64526026
metropolitan,commercial,5666,38982,5,modern,medium,Furnished,standard,5380,1637,1100,381,100,265,181,274013353
rural,commercial,4545,572,25,traditional,high,Non-Furnished,standard,4300,1749,1361,511,159,230,195,88833892
suburban,commercial,3409,2566,5,contemporary,medium,Non-Furnished,standard,3235,1615,1289,586,132,156,135,31887777
suburban,residential,9314,1621,4,contemporary,low,Furnished,standard,8848,1677,1155,331,154,287,141,46742997
metropolitan,residential,2983,30594,5,traditional,high,Furnished,luxury,2830,1587,1088,445,102,151,103,115805487
suburban,residential,4876,4817,1,contemporary,low,Furnished,basic,4632,1601,1392,454,169,262,137,30939887
metropolitan,commercial,1220,30101,8,modern,medium,Furnished,basic,1152,1740,1214,496,114,287,117,44936697
metropolitan,commercial,6176,39162,16,contemporary,high,Non-Furnished,basic,5856,1646,1448,304,51,163,184,316678202
metropolitan,commercial,7507,48880,19,traditional,medium,Non-Furnished,basic,7125,1707,1336,412,187,165,103,443163510
suburban,commercial,9015,4295,27,modern,low,Non-Furnished,luxury,8559,1795,1476,406,189,240,128,180019360
suburban,commercial,2152,1150,30,contemporary,high,Non-Furnished,luxury,2040,1607,1350,413,198,222,153,46520579
rural,residential,2192,442,5,contemporary,high,Non-Furnished,luxury,2080,1511,1188,544,110,205,155,14394383
suburban,commercial,6062,4949,16,contemporary,medium,Furnished,standard,5744,1653,1162,323,165,164,199,87059649
metropolitan,commercial,10225,38559,27,modern,medium,Furnished,basic,9693,1530,1442,467,146,162,128,544623833
rural,residential,3860,484,2,modern,high,Non-Furnished,basic,3666,1648,1202,432,186,213,179,15684015
suburban,residential,6105,3515,4,modern,medium,Non-Furnished,standard,5796,1788,1260,579,90,250,170,49954301
urban,commercial,11509,6661,17,modern,low,Non-Furnished,basic,10931,1518,1465,430,114,256,187,173979153
metropolitan,commercial,8065,26843,6,traditional,medium,Non-Furnished,basic,7656,1556,1131,421,174,293,110,258208864
urban,residential,5431,18240,3,contemporary,high,Furnished,luxury,5157,1645,1258,539,95,183,170,136053883
suburban,residential,10593,2660,3,traditional,low,Furnished,basic,10062,1503,1280,443,142,190,194,54862644
rural,commercial,2942,638,16,contemporary,medium,Non-Furnished,luxury,2784,1550,1189,378,132,231,134,33545618
urban,residential,5248,14198,1,traditional,low,Non-Furnished,standard,4985,1649,1168,459,96,284,170,75802807
metropolitan,residential,1609,31869,3,modern,high,Non-Furnished,standard,1527,1560,1307,571,195,253,141,58578580
suburban,commercial,10416,1700,25,contemporary,medium,Non-Furnished,luxury,9875,1536,1138,583,164,300,153,234902079
suburban,commercial,6948,4507,20,modern,medium,Non-Furnished,standard,6600,1696,1341,390,120,290,174,117362559
suburban,commercial,2346,3542,5,contemporary,medium,Furnished,standard,2225,1554,1199,586,88,152,190,24174211
suburban,commercial,3633,1814,6,traditional,high,Non-Furnished,luxury,3450,1763,1463,521,133,242,152,40359662
rural,residential,7612,374,2,traditional,low,Furnished,standard,7230,1654,1323,420,63,155,153,27194390
